Type;Base Entity                         ;Rel ;Type;Target Entity
SECT;System-Actors                       ;USES;DATA;supply_orders
SECT;System-Actors                       ;USES;DATA;articles
SECT;System-Actors                       ;EXEC;TEST;ORDERS0057
DOCU;OrderEntry                          ;OWNS;SECT;User-Interfaces
SECT;User-Interfaces                     ;USES;DATA;customer_website
SECT;User-Interfaces                     ;USES;DATA;web_pages
SECT;User-Interfaces                     ;USES;DATA;web_page
SECT;User-Interfaces                     ;USES;DATA;customers
SECT;User-Interfaces                     ;USES;DATA;articles
SECT;User-Interfaces                     ;USES;DATA;stock
SECT;User-Interfaces                     ;USES;DATA;web_page
SECT;User-Interfaces                     ;USES;DATA;articles
SECT;User-Interfaces                     ;EXEC;TEST;ORDERS0058
SECT;User-Interfaces                     ;USES;DATA;customer_query_page
SECT;User-Interfaces                     ;USES;DATA;customer
SECT;User-Interfaces                     ;USES;DATA;article
SECT;User-Interfaces                     ;USES;DATA;category
SECT;User-Interfaces                     ;EXEC;TEST;ORDERS0059
SECT;User-Interfaces                     ;USES;DATA;customer_number
SECT;User-Interfaces                     ;USES;DATA;customer_number
SECT;User-Interfaces                     ;USES;DATA;article_category
SECT;User-Interfaces                     ;USES;DATA;article_category
SECT;User-Interfaces                     ;USES;DATA;article_category
SECT;User-Interfaces                     ;USES;DATA;system_lists
SECT;User-Interfaces                     ;USES;DATA;articles
SECT;User-Interfaces                     ;USES;DATA;category
SECT;User-Interfaces                     ;USES;DATA;name
SECT;User-Interfaces                     ;USES;DATA;number
SECT;User-Interfaces                     ;USES;DATA;description
SECT;User-Interfaces                     ;USES;DATA;type
SECT;User-Interfaces                     ;EXEC;TEST;ORDERS0060
SECT;User-Interfaces                     ;USES;DATA;article_number
SECT;User-Interfaces                     ;USES;DATA;article_number
SECT;User-Interfaces                     ;USES;DATA;article_name
SECT;User-Interfaces                     ;USES;DATA;article_name
SECT;User-Interfaces                     ;USES;DATA;article_name
SECT;User-Interfaces                     ;USES;DATA;article_description
SECT;User-Interfaces                     ;USES;DATA;article_description
SECT;User-Interfaces                     ;USES;DATA;article_description
SECT;User-Interfaces                     ;USES;DATA;article_price
SECT;User-Interfaces                     ;USES;DATA;article_price
SECT;User-Interfaces                     ;USES;DATA;article_price
SECT;User-Interfaces                     ;USES;DATA;customer_number
SECT;User-Interfaces                     ;USES;DATA;customer_order_panel
